"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"207","ILMN_2115490",1.57995221240413,11.4477600055059,14.6826647586587,1.53111302876499e-24,2.67797339519993e-21,45.3523740640448,"NBPF9","NBPF member 9"
"208","ILMN_2147517",-1.1557926902859,7.30685664109797,-14.03412236851,2.14348829648151e-23,2.53060228282607e-20,42.764737348527,"CD58","CD58 molecule"
"209","ILMN_2159694",1.8742732944998,7.19384398888895,4.18386658177941,7.22021382085309e-05,0.000524726650470862,0.927155154379583,"HLA-DRB4","major histocompatibility complex, class II, DR beta 4"
"210","ILMN_2161286",1.19701699347118,8.9627294196323,10.7027900824054,3.60008064426426e-17,4.85743452413529e-15,28.6643982976642,"STRIP2","striatin interacting protein 2"
"211","ILMN_2162972",-1.42139233818142,8.56644419307509,-8.07674712450924,5.30193656637181e-12,1.72555928608093e-10,16.9405426732087,"LYZ","lysozyme"
"212","ILMN_2165289",-2.08020447737791,6.32552590512526,-8.00943664507384,7.19573720958901e-12,2.27908446670444e-10,16.6400391372875,"DEFA1","defensin alpha 1"
"213","ILMN_2165289",-2.08020447737791,6.32552590512526,-8.00943664507384,7.19573720958901e-12,2.27908446670444e-10,16.6400391372875,"DEFA3","defensin alpha 3"
"214","ILMN_2165289",-2.08020447737791,6.32552590512526,-8.00943664507384,7.19573720958901e-12,2.27908446670444e-10,16.6400391372875,"DEFA1B","defensin alpha 1B"
"215","ILMN_2169152",-1.02737765344752,11.9009632483415,-11.6332958681616,5.83348645536122e-19,1.42736043713978e-16,32.725423038086,"SRGN","serglycin"
"216","ILMN_2184373",-3.02507725606456,6.54574597312172,-11.6354778992343,5.77791418982792e-19,1.42112614427309e-16,32.7348486764957,"CXCL8","C-X-C motif chemokine ligand 8"
"217","ILMN_2193213",-1.92277616538782,7.17044342291049,-6.69294749073626,2.6223214019174e-09,4.66427517454416e-08,10.847479403249,"DEFA1","defensin alpha 1"
